id_rf,ambiguo_detector,categorias_activadas,evidencia_cuantificador_vago,evidencia_conjuncion_multiple,evidencia_voz_pasiva
RF-01,0,ninguna,,,
RF-02,0,ninguna,,,
RF-03,0,ninguna,,,
RF-04,0,ninguna,,,
RF-05,0,ninguna,,,
RF-06,0,ninguna,,,
RF-07,0,ninguna,,,
RF-08,0,ninguna,,,
RF-09,0,ninguna,,,
RF-10,0,ninguna,,,
RF-11,0,ninguna,,,
RF-12,0,ninguna,,,
RF-13,0,ninguna,,,
RF-14,0,ninguna,,,
RF-15,0,ninguna,,,
RF-16,0,ninguna,,,
RF-17,0,ninguna,,,
RF-18,0,ninguna,,,
RF-19,0,ninguna,,,
RF-20,0,ninguna,,,
RF-21,0,ninguna,,,
RF-22,0,ninguna,,,
RF-23,0,ninguna,,,
RF-24,0,ninguna,,,
RF-25,0,ninguna,,,
RF-26,0,ninguna,,,
RF-27,0,ninguna,,,
