rf_id,experto_1,experto_2,experto_3,ambiguo_detector,categorias_activadas
RF-01,0,0,0,0,ninguna
RF-02,0,0,0,0,ninguna
RF-03,0,0,0,0,ninguna
RF-04,0,0,0,0,ninguna
RF-05,0,0,0,0,ninguna
RF-06,0,0,0,0,ninguna
RF-07,0,0,0,0,ninguna
RF-08,1,1,1,0,ninguna
RF-09,0,0,0,0,ninguna
RF-10,0,0,0,0,ninguna
RF-11,0,0,0,0,ninguna
RF-12,0,0,1,0,ninguna
RF-13,0,0,0,0,ninguna
RF-14,1,0,0,0,ninguna
RF-15,0,0,1,0,ninguna
RF-16,0,0,1,0,ninguna
RF-17,1,0,1,0,ninguna
RF-18,0,0,0,0,ninguna
RF-19,0,0,0,0,ninguna
RF-20,0,1,0,0,ninguna
RF-21,1,0,1,0,ninguna
RF-22,1,1,0,0,ninguna
RF-23,0,0,0,0,ninguna
RF-24,0,0,0,0,ninguna
RF-25,1,0,0,0,ninguna
RF-26,0,0,0,0,ninguna
RF-27,0,0,0,0,ninguna
